Timepoint,SG,Temp (°C)
12/31/2024 15:42:49,1.001,22.8
12/31/2024 0:11:16,1.002,22.8
12/30/2024 22:26:43,1.002,22.8
12/30/2024 22:11:40,1.002,22.8
12/30/2024 21:56:36,1.002,22.8
10/03/2025 14:52:47,1.087,23.9
10/03/2025 14:52:59,1.255,23.9
10/03/2025 14:54:00,1.413,23.9
10/03/2025 14:54:03,1.413,23.9
10/03/2025 14:54:17,1.348,24.4
10/03/2025 14:54:20,1.264,24.4
10/03/2025 14:54:30,1.264,24.4
10/03/2025 15:04:55,1.524,24.4
10/03/2025 15:04:58,1.524,24.4
10/03/2025 15:05:12,1.050,25.0
10/03/2025 15:05:22,1.065,25.0
10/03/2025 15:05:25,1.065,25.0
10/03/2025 15:07:37,1.152,25.0
10/03/2025 15:07:54,1.266,25.0
